person,count,pgpid
his son Abū l-Majd,4,
the cantor Abū l-Majd,4,
his brother Abū l-Barakāt,4,
Letter mentioning Abū l-Barakāt,4,
letter to Abū l-Ṭāhir,4,
the leader Abū Saʿd,4,
"Faḍl, Abū Saʿd",4,
' to Abu Nasr,4,
sent by Abu Nasr,4,
brother of Abu Nasr,4,
mentioning one Abu Nasr,4,
", mentioning Abu Nasr",4,
", mentioning Abū l-Surūr",4,
Khalaf and Abu l-Fadl,4,
", while Abu l-Fadl",4,
's brother Abū l-Faḍl,4,
known as Ibn al-Amshati,4,
dinars to Abu Kathir,4,
the parnas Abu Kathir,4,
wife of Abū Kathīr,4,
Ashur and Ben Outhwaite,4,
recording that Sitt al-Husn,4,
...] b. Yehuda ha-Zaqen,4,
"fiancee, Sitt al-Ahl",4,
"Barakāt, Sitt Rayḥān",4,
...] b. Shelomo,4,
document mentioning Sitt al-Dār,4,
) naming Abu 'Ali al-Husayn,4,
chapter of Ibn Buṭlān's,4,
", to Abū Isḥāq Avraham b. al-Sheviʿi",4,
a newcomer Abū Manṣūr Baghdādī,4,
workshops: Ibn al-Shāʿir,4,
"Shelomo, Sitt Ghazāl",4,
situation of Sitt Ghazal,4,
his partner Abu Zikri Kohen,4,
hand of Abū Zikrī Kohen,4,
written by Abū Zikrī Kohen,4,
Letter from Abū Zikrī Kohen,4,
contract of Abu Mansur,4,
"), Abū Manṣūr",4,
the name Abū Manṣūr,4,
document mentioning Abū Manṣūr,4,
Yiṣḥaq to Ibn Yiju,4,
daughter of Abu Barakat,4,
from Natan b. Yehuda,4,
the cantor b. Yehuda,4,
"husband, Abu al-Ala b.",4,
"experts, Abu al-Ala",4,
his brother Abu l-Najm Hilal,4,
", to Sitt al-Khassa",4,
1146. Sitt al-Khassa,4,
nezer) b. Shemuel,4,
Levi and Sitt al-Kuttab,4,
written by Umm Sitt al-Nās,4,
"'"" Umm Sitt al-Nās",4,
Goitein)—then accused Umm Sitt al-Nās,4,
her brother Abu ʿUmar Ibn Sabra,4,
Letter from Ibn ʿAlī,4,
...] b. Yeshuʿa,4,
...] b. Shemarya,4,
", mentioning Abū Sulaymān",4,
sent with Bu l-Khayr,4,
about what Bu l-Khayr,4,
's father Abu Sahl Levi,4,
probably from Abu Sahl Levi,4,
the brothers Abu l-Ma'ali,4,
addressed to Abu al-Ali Ayash,4,
Gil and Ben Sasson,4,
instructions regarding Ibn Yiju's,4,
the congregations b. yefet,4,
...] b. Yefet,4,
identical. Abu al-Barakat al-Murid,4,
known families Ibn Shay'a,4,
"Shay'a, Ibn Saghir",4,
such as Abu Zikri Hayyim b.,4,
addressed to Abu al-Hasan Yedutun ha-Levi,4,
from Isma’il b. Barhun ha-Tahirti,4,
to which Abu al-Ma'awi,4,
) from Abu Nasr b Tayyib b. Toviah,4,
addressed to Abu Ali,4,
"Halfon, Abu Ali",4,
his son Abu al-Majd,4,
widow was Sitt al-Sada,4,
Yaaqov appoints Abu Sa'd b. Zandavir,4,
). Abu al-muna,4,
go to Abu 'Ali,4,
", mentioning Abū ʿAlī",4,
headed by Abu al-Mufaddal,4,
", and Abu l-Hasan al-Halabi al-Sayrafi",4,
sent by Abū Naṣr b. Avraham,4,
...] b. Menashe,4,
machinations of Ibn al-Taffal,4,
As for Ibn al-Taffal,4,
the cantor Ben Nahman,4,
son named Abu l-Mahasin,4,
Rayḥān and Sitt Jawhar,4,
letter from Abū Thanā,4,
possibly named Abū Faḍl,4,
"), Abū l-Munajjā",4,
", mentioning Abū l-M",4,
Shemuʾel (b. Ḥananya,4,
...] b. Sulaymān,4,
the cantor b. David,4,
man named Abu al-Faraj b. Musa,4,
", to Abu l-Majd Meir b. Yakhin",4,
daughter of Abu Nasr al-Tinnisi,4,
date by Abu al-Fadil,4,
"Dosa, Ibn Sighmar",4,
Araḥ to Abū l-Faḍā'il b. ʿAmram,4,
Salama and Ibn Siman Tov,4,
Letter to Abu al-Hasan ',4,
deceased physician Abu al-Murajja b. Daniel,4,
...] b. Nahum,4,
", mentioning Abū l-Karam",4,
...] b. Moses,4,
…] b. Khalaf,4,
", asking Abū l-Khayr Khiyyār",4,
Alam bint Abu Ishaq al-Hazzan,4,
...] b. Ṣedaqa,4,
...] b. Saʿīd,4,
"Bahudi, Ibn Hirbish",4,
"Ramla, Ibn Ṣafar-Street",4,
siddur r. shelomo,3,4744
teshuvot,3,30304
hayyim avraham levi,3,30727
yizhaq saban,3,30732
david anili,3,30734
alpalas,3,30739
sharh,3,31213
samuel ibn tibbon,3,31213
gods,3,31212
diego martin,3,31211
avner,3,31211
maestro alfonso,3,31211
khawaja mesiha,3,31166
al-damanhuri,3,31166
al-mayadin,3,31174
kahf al-sudan,3,31174
kahf,3,31174
bartholomeo,3,31198
hakham moshe,3,31203
shemuel harran,3,31203
mdh plvnyt,3,31109
afdal al-salam,3,31124
sayyidna musa rasul allah al-rasul,3,31126
semangelof adam,3,31132
sefer ha-yezira,3,31136
okasha el daly's,3,31165
avraham yagel,3,31094
galiko,3,31094
airy,3,31094
ruderman,3,31094
kabbalah,3,31094
moshe ha-zaqen,3,31098
david medina,3,31100
sada bt,3,31105
samar,3,31105
sephardic,3,31106
kabbalistic menora,3,31107
asaf b. berakhya,3,31091
uriel,3,31092
semangelof,3,31093
"alam, 'illal",3,6176
bayn al-qasrayn,3,6177
bab zuwaylah,3,6177
rifi,3,6177
misr,3,6177
mahfuz b. menahem,3,29446
avraham b. muslim,3,29446
yosef menasheh,3,30594
eliyyahu palomko,3,30595
avraham haqis,3,30595
nehemias b. shemuel,3,30597
mordekhai ortas,3,30597
shemuel mas'ud,3,30597
gavriel afinah,3,30597
ya'aqov fayruz,3,30597
rahamim hotev,3,30597
shalom b. avraham ashkenazi,3,30597
baqbash,3,30597
barukh kampanton,3,30597
moshe yeshurun,3,30597
'amram ibn hini,3,30597
yeshu'ah shustari,3,30597
yosef porto nayis,3,30597
nissim hefez,3,30597
aharon af,3,30597
aharon reuven,3,30597
mas'udah,3,30597
moshe 'addal,3,30597
aharon kozimat,3,30597
moshe kozimat,3,30597
ya'aqov rasa,3,30597
marhabah,3,30597
yehudah karo,3,30597
eliyyahu tabun,3,30597
sa'id zarmag,3,30597
yehudah karmona,3,30597
ha-shohet,3,30597
binyamin ga'di,3,30598
moshe ga'di,3,30598
avraham shim'on,3,30600
binyamin koriyal,3,30600
shetar harsha'ah,3,30600
masliah b. eliyyah,3,29452
shemuel b. hayyim,3,29452
salih b. yusuf al-sabbagh,3,29452
nissim b. menahem,3,29452
menahem ben sasson's,3,29452
aharon b. yizh[aq,3,30605
menahem b. moshe ha-levi,3,30605
avraham b.,3,30608
avraham goren,3,30512
eliyyahu kayas,3,30512
shelomo 'efron,3,30512
avraham gawhar,3,30514
kumisah,3,30514
yosef hassun,3,30514
yosef mosseri,3,30514
avraham rosano,3,30515
sakkah,3,30515
aharon ha-mumhe b. efr[ayim,3,30503
shelomo eliyaqim,3,30523
hananyah kohen,3,30524
avraham muhibb,3,30525
palomba,3,30525
kafr al-naqir,3,30526
masjid al-khidr,3,30526
avraham wahba b. moshe,3,30526
sutaytah bt,3,30526
yusuf haddad,3,30526
ya'aqov b. 'attar,3,30526
avraham wahba,3,30526
amaryo b. ya'aqov,3,30527
nissim b. [...] al-misri,3,30504
kathir b. shelomo,3,30529
peloni b. peloni,3,30532
sol,3,30532
yehiel evron,3,30532
elazar b. michael momilian,3,30532
david paysano,3,30532
avraham b. shema'yah ha-haver,3,30533
berakhah,3,30534
cassuto,3,30534
mordekhai b. shabbetay,3,30534
r. sa'd,3,30534
makhluf b. yizhaq,3,30535
zahrah bt,3,30535
diamante,3,30536
rahamaim b. nissim,3,30537
khumays,3,30538
nujum,3,30538
yizhaq ha-levi ghazal,3,30538
shelomo b. sa'id,3,30539
aharon b. sa'id,3,30539
n al-bazzaz,3,30540
sh,3,30542
maymun b. musa,3,30545
yeshu'ah b. david ha-levi,3,30505
sabbatai sevi,3,30549
hiyya pinto,3,30549
ghulaybi yesha'yah,3,30550
david nunes,3,30550
dona,3,30551
maymun b. ya'aqov maymun,3,30551
yizhaq zamiro,3,30552
moshe zakkai,3,30552
ya'aqov al-marankati,3,30552
makarim b. abu l-rida al-simsar,3,30506
al-as'ad ibn munajja,3,30506
yehudah b. shelomo ha-sofer,3,30560
moshe 'azaryah,3,30561
yosef buntol,3,30561
al-amir 'abd al-rahman,3,30561
moshe benvenist,3,30562
moshe hafis,3,30564
yehudah kafiyanti,3,30564
narbonah,3,30565
menasse b. yehuda,3,5334
yosef yu'bas,3,30566
yizhaq b. halfon,3,30567
yusuf ibn rabbenu,3,30567
al-ahkam,3,30567
al-thaghr,3,30567
saloman,3,30568
david dayyan b. avraham,3,30569
yehudah konan,3,30569
natan b. zekharyah,3,30570
halfon b. yizhaq,3,30570
ibrahim b. shema'yah ha-haver,3,30573
shemaryah,3,30573
hibah ha-levi,3,30574
yehudah masos,3,30507
a r. yesha'yah,3,30507
yizhaq khabbaz,3,30576
moshe b. shemuel 'allush,3,30576
david siqil,3,30579
avraham shuninah,3,30579
kaspa,3,30580
yosef yedid,3,30581
ya'aqov disanah,3,30583
chizana,3,30583
david samhun,3,30508
yosef beirav,3,30508
ortah b. mordekhai,3,30508
hayyim mizrahi,3,30508
shemuel rolo,3,30585
a mordekhai suriano,3,30585
yosef shtiwi,3,30586
moshe hanan,3,30586
moshe mizrahi,3,30586
moshe haddad,3,30587
moshe b. yehudah,3,30587
ya'ish al-mannawi,3,30587
zaytun,3,30588
nissim b. yosef,3,30589
moshe kondiote,3,30590
nissim kaspi b. moshe,3,30591
moshe kohen b. yehudah kohen,3,30591
kaspi,3,30591
moshe magor,3,30591
shelomo b. yd`,3,30592
mansuri,3,30592
eliyyahu b. zahal,3,30593
mordekhai kapanton,3,30593
khawaja mikha'el,3,30593
yishaq b. avraham al-mishmar,3,5558
mansurah,3,30402
yosef b. khalfah,3,30403
pinhas b. yom tov aripol,3,30411
hayyim chizana,3,30412
hayyim nusayri,3,30412
khalifah pinto,3,30412
eligo,3,30416
mordekhai hako,3,30419
kapotakia,3,30419
eliezer mani,3,30420
moshe tawil,3,30421
moshe masliah,3,30421
al-mahasin,3,30327
musa b. yishak b. hisdai,3,5559
hayyan,3,30424
hayyim b. yosef polako,3,30426
yizhaq sirnana,3,30426
ya'ish harrar,3,30429
aharon beirav,3,29464
avraham b. salih b. zarqi,3,30142
fa'izah,3,30142
shemuel levi,3,30436
yishma'el ha-kohen,3,30439
yeshu'ah landes,3,30440
nissim b. rabi',3,30445
yeshu'ah ha-kohen,3,30448
al-nushu',3,30449
mu'in al-mustawfi,3,30449
laqad ja',3,30452
khadara,3,30452
al-kanis,3,30452
al-midrash,3,30452
raqid taht al-firash,3,30454
ibrahim shammul,3,30456
sulayman ibn,3,30456
ayash b. sedaqa,3,5561
ya'aqov hanoko,3,30469
'allush al-gharbi,3,30472
pini lavan,3,30473
yizhaq karigal,3,30473
moshe bazzal,3,30476
yosef ha,3,30476
levi iskandari,3,30476
levi karaso,3,30477
r. shulam,3,30484
avraham arukh,3,30484
nissim provencal,3,30484
shem tov al-hadif,3,30484
yizhaq nemias,3,30484
yosef shulam,3,30484
de koriyal,3,30486
nissim meyuhas,3,30490
leib efendi,3,30492
barukh lob heilpern,3,30496
abram nunez,3,30498
sehid barda,3,30498
tricky,3,30499
agram,3,30500
rabbi barukh,3,30500
al-shoter halfon,3,30502
khalaf b. nasir,3,9307
salim b. ibrahim,3,9307
mahallah,3,30340
yizhaq al-andalusi,3,4409
musa al-taherti,3,4409
chapira,3,4409
avraham al-kohen,3,4409
barukh gomel le-hayavim tovot,3,4409
lana ahad bi-l-haya,3,4409
al-ma'arij,3,4409
dar al-birka,3,4409
menahem b. yosef,3,30344
banyam,3,30345
moshe tanis,3,30346
mSHh tAnys,3,30346
hayyim rosano,3,30351
moshe hapis,3,30351
ya'aqov al-luzio,3,30354
ibrahim b. farah al-iskandrani,3,30355
barhun al-taherti,3,30355
khulayf b. menahem al-sha'ali,3,30355
yosef al-taherti,3,30355
mahasin al-damin,3,30357
al-sughayyirah,3,30357
al-jazzaz,3,30323
sulayman b. abu,3,30323
i]shaq b. abu l-karam,3,30323
al-shaykh al-ajall al-rashid,3,30324
al-shaykh al-ajall al-as'ad,3,30324
al-kohen al-ajall,3,30324
shemuel na'im,3,30393
moshe yo'av,3,30394
ya'aqov molcho,3,30397
shelomo b. habib,3,30627
avraham mador,3,30627
moshe katib,3,30627
moshe perdonil,3,30627
yosef b. [...,3,30627
yehudah b. yosef al-ashqar,3,30627
hayyim b. hini,3,30627
yehudah bahlul,3,30627
hayyim mador,3,30627
shemuel ghazzawi,3,30627
yizhaq ahumado,3,30627
yizhaq al-ashqar,3,30627
yizhaq al-ashqar junior,3,30627
avraham al-ashqar,3,30627
yizhaq talmid,3,30627
'ali b. hini,3,30627
emanuel,3,30627
yehudah al-ashqar,3,30627
ya'aqov 'atias,3,30642
yusuf seviliah,3,30642
avraham al-dar'i,3,30642
haqim,3,30643
riyasat al-diyaniyah,3,30646
riyasat al-masalih,3,30646
sunduq al-ta['ifah,3,30646
majlis al-nuwwab,3,30646
khaw[aja,3,30646
zakito luria,3,30646
fereira,3,30646
eliyyahu shtiwi,3,30655
khedival era,3,30656
trinqi,3,30613
rason,3,30613
mugnanah,3,30613
afif,3,30613
kahlatan,3,30613
skandari,3,30613
biyalokos,3,30613
fawwaz,3,30613
frances,3,30613
uziel,3,30613
kachichi,3,30613
nosri,3,30613
jarbu'a,3,30613
kondiote,3,30613
sham tzivah,3,30661
hayyim kilokos,3,30679
ya'ish haddad,3,30683
david na'im,3,30683
shalom b. na'im,3,30686
menahem qaziz,3,30686
'amram b. hini,3,30686
anne lester,3,30616
laura morreale,3,30616
noam sienna,3,30616
ariana myers,3,30616
suzanne akbari,3,30616
lorenzo bond,3,30616
tvrqyyh,3,30688
qq zmyrv,3,30688
radbaz,3,30688
david ibn abi,3,30688
r. j. h. gottheil,3,30688
jqr xix,3,30688
alarcon b. hayyim yusufi,3,30691
hemdat yamim,3,30694
yemin moshe,3,30694
shehitah,3,30694
tzion,3,30694
toldot,3,30617
cook,3,30762
kirmani,3,30762
donkeys,3,30762
mix,3,30762
zad al-musafir,3,30775
tayharah,3,30800
avraham al-a[.]tar,3,30892
fra paolo tomaso,3,30895
gazi basha,3,30901
usman al-wali,3,30901
hasan bey mustafa,3,30901
baqit dhahilan mutahayyiran,3,30879
ha-nasi ha-gadol,3,30881
al-hakim al-yahudi al-hariri,3,31014
amir al-mu'minin amir al-din,3,31016
antun al-wakil,3,31017
antun 'abd al-latif,3,31017
yusuf [ishaq?,3,31017
al-mawlawi al-sultani,3,31033
hayyim al-sarraf,3,31035
anni la,3,31045
al-mahdar,3,31045
wa-{u}shhid 'ala ruhi khaliq al-sama,3,31045
wa-bihi,3,31045
hadhihi l-waraqa,3,31045
hilal b. al-rassas,3,31047
musa b. yehuda,3,31050
'abd al-ghaffar al-akhras,3,31059
ibrahim al-yahudi al-hawayiri,3,31067
ibrahim al-yahudi,3,31067
makarim al-yahudi,3,31070
al-qazzaz abu l-qasim,3,31070
diyab al-hanuti,3,31070
shfkhn@ ltrmwy,3,31070
ishaq al-yahudi al-hakim,3,31078
jumada al-awwal,3,31080
fyh Hrrh lfqyr,3,31084
tarhoncu ahmed pasha,3,31084
byn ydy mtwlyh sydn,3,31084
lHkm lshr`y,3,31084
al-amir yusuf b.,3,31084
michael winter,3,31084
al-yahudi al-rabban al-sarraf,3,31084
bi-l-diwan al-'ali,3,31084
al-mu'allim muslih al-yahudi,3,31084
shihab al-din al-qalyubi,3,30933
bulus al-katib,3,30938
sedaqa al-yahudi,3,30949
dhu l-hijja,3,30951
sa'id b. batriq al-mutatabbib,3,30954
yashu',3,30955
muhammad b. qasim b. 'ali,3,30957
al-hamawi,3,30957
al-darb,3,30957
khidr b.,3,30957
al-yahudi al-rabbani,3,30957
al-shaykh abu l-fakhr b. ibrahim,3,30963
muhammad wa-alihi,3,30964
mujiz al-qanun,3,30984
canon,3,30986
al-hanjara,3,30986
al-hawi,3,30987
l-tibb,3,30987
khidr zaytun,3,30989
harat al-yahud,3,30989
al-faqir salih al-liqa'i,3,30989
ya'qub al-yahudi al-mutatabbib,3,30990
bundar b. eliya,3,29488
'ali b. talha b. al-husayn,3,29488
hiba b. mufaddal al-mutatabbib,3,30992
mahmud rifa'i al-burayqi,3,30993
al-khawaja,3,30993
al-mu'allim al-maliji,3,30994
constantine,3,30996
ibrahim 'adda al-marajini,3,30997
muhammad hasan,3,30998
hajj muhammad 'athari,3,30998
al-attar,3,30998
isra'il al-sayrafi,3,30999
ya'qub al-tawil,3,30999
sani'at al-khilafa,3,31003
'abd al-wahhab,3,31003
ahmad b. ahmad hijazi al-ajhuri,3,31007
r. yehuda halevi's,3,452
darra,3,2456
r. hananya b. barhun,3,19004
yizhaq sabah,3,19004
bahya ben asher,3,19005
"the zarfatiyyim z""l",3,19006
ezra b. meir,3,19006
shelomo dammuhi,3,19007
yusuf b. 'iwad al-kohen,3,19010
yahya kohen,3,19010
khidr,3,19011
'awda,3,19011
muhadhdhab al-sayrafi,3,19016
hillel b. yehuda,3,19016
aramaic,3,19020
aharon b. yo,3,6310
rav hayya,3,19043
song,3,19059
yahya b. hadi,3,19061
'ali husayn,3,19061
'aziz b. sinan,3,19061
musa al-hajabi,3,19061
'ali husayn al-ashwal,3,19061
yusuf b. kaslun,3,19067
amir nasir al-dawla,3,19067
al-rayyis al-hakim abu zikri,3,19072
al-shaykh hiba,3,19072
kitab al-amanat,3,19073
al-mujahidin,3,19074
wa-li-safiyya,3,19074
rasul allah wa,3,19074
shahdan wa-ashhadu,3,19074
hayah ve-hu,3,19078
adon olam,3,19078
yefet b. menasheh b. al-qata'if,3,19081
r. shabbetay,3,495
efrayim b. shemaryah,3,19083
al-shaykh abu l-muna,3,6312
yehoshua b. nun,3,19085
barakat b. salama,3,19087
eliyya b. david,3,19088
saadya b. [,3,19090
al-dukhul bi-ha,3,19097
sitti al-ra'isa,3,2461
y[.]ya b. yahya,3,19102
al-sabari,3,19102
montefiori coll,3,19103
al-malhah,3,19105
da'ud b. da'ud,3,19105
yusuf b. musa,3,19105
'iwad b. avraham,3,19105
harith,3,19109
yisrael b. shelom[o,3,19111
ha-sar rav netanel,3,19116
elazar ha-kohen b. shelomo b. yehosef,3,19123
zo'an,3,19123
hibat allah b. sadaqa,3,19124
eliyyahu b. zekharia,3,2463
yizhaq sar ha-leviim,3,9311
matruh,3,9311
box,3,6315
shemaryahu ha-haver nin ha-geonim,3,19130
ghalib ha-zaqen,3,19130
ghalib,3,19130
r. nahum,3,19130
r. yahya,3,19130
yefet ha-rofe,3,19130
woe,3,19131
elazar ha-zaken,3,19133
saadya ha-rofe,3,19134
saadya segan ha-yeshivah,3,19134
mevorakh sar ha-sarim ve,3,19134
imran b. al-marjani,3,6316
ha-kohen b. ya'aqov,3,19141
bayan b. abu,3,19142
saadya b. mazhir,3,19144
shemuel ha-zaqen,3,19146
yizhaq zamoro,3,30311
harat al-qara'iyyin,3,19148
gamaliyya,3,19157
yusuf al-hariri,3,19157
sutut,3,19171
l-mufaddal,3,19172
abd al-malik,3,19174
an abu ya'qub,3,19177
r. yosef b. r. avraham al-maghribi,3,19181
al-muwaffaq ya'qub al-sakandari,3,19182
ibrahim al-rayyis,3,19182
abd al-'aziz b. katib al-'arab,3,19182
sulayman [b.] al-shaykh al-'afif,3,19182
abd al-rahim al-maghribi,3,19182
abd al-ghaffar b. 'abd al-wali,3,19182
abd al-wahid b. fayruz,3,19182
barzilay al-faranji,3,19182
abd al-ghaffar al-kazaruni,3,19182
abd al-karim al-mawardi,3,19182
abd al-latif b. 'abd al-wali,3,19182
ibrahim al-maghribi,3,19182
abd al-wahid b. al-mu'allim,3,19182
ya'qub b. 'abd al-wali,3,19182
abd al-da'im b. fayruz,3,19182
abd al-latif b. m[,3,19182
yusuf al-qudsi,3,19182
yosef b. elazar ha-kohen,3,19190
al-abras,3,19191
ovadyah b. shemuel,3,19191
se'adyah b. sedaqah ghazzawi,3,19191
yeshu'ah b.,3,19191
yeshu'ah b. yehudah knonw,3,19191
yeshu'ah b. moshe,3,19191
nasi david b. hizqiyyahu,3,460
menahem b. yefet,3,6184
rida bt,3,6184
david b. moshe,3,6184
tahor ha-kohen b. yeshu'ah repudiates,3,6185
banat bt,3,6185
she'erit b. halfon,3,6186
shelah,3,6187
amram b. ya'aqov,3,6187
per goitein,3,6188
mansur b. sa'd known,3,6189
mansur b. abu sa'd,3,6190
shemaryah b. avraham,3,6190
yusuf al-sabbagh,3,6191
shemuel ha-levi b. se'adyah,3,6191
maria mavroudi,3,19193
pelca,3,19193
sadoq ha-kohen b. eliyyahu,3,462
malkah,3,19194
elazar b. noah,3,19194
hayyim b. eliyyahu,3,19194
avraham b. mu'ti tilimsani,3,9668
yizhaq b. khalfun,3,9668
yusuf b. sulayman,3,9668
yeshoshua b. moshe,3,6198
se'adyah b. avraham,3,6199
elazar ha-kohen b. ',3,6199
toviyyahu b. eli,3,6201
another ibn al-sha''ab,3,465
shemuel b. yahya,3,6213
'aziza,3,6213
ne'eman abu,3,6214
al-shaykh 'amid,3,6214
yefet ha-melamed b. yosef ha-melamed,3,6215
al-shaykh abu yizhaq,3,6217
danger,3,6218
yona al-maghribi,3,6218
nissim b. ishaq al-tahirti,3,5567
avraham ben khalaf,3,5568
hillel b. ',3,6206
shelomo ha-kohen b. yosef av,3,6206
avraham b. shemayah,3,6206
sedaqah ha-kohen b. david,3,6206
yizhaq b. elazar,3,6206
'ezra b. hillel,3,5569
r. joseph,3,6220
alexandra kersley,3,6220
yizhaq ha-kohen al-nafusi,3,6210
moshe tiferet ha-kohanim,3,6210
shelomo ha-kohen b. yehudah ha-kohen,3,6207
tikvah b. simhah b. mevaser ha-haver,3,6207
masekhet niddah,3,6226
yeshu'a gaon,3,470
yosef b. yehuda menahem,3,31326
esteta,3,31326
prKHym zhb bnAdqh,3,31326
yosef b. ya'aqov saragosi,3,31333
nissim messina,3,31333
yizhaq b. moshe,3,31334
sammuh,3,31334
yehuda haddad,3,31334
efrayim b. shemuel,3,6229
eliyyahu susi,3,6229
nissim zerahya,3,6230
zhvbym mKHbvbym,3,6230
avraham b. yosef mammon,3,31328
bayda,3,31328
david farashi,3,31329
kawuqji,3,31329
ya'aqov medina,3,31329
yosef b. aharon shunina,3,31332
avraham shunina,3,31332
damir,3,31332
yizhaq b. shemuel,3,6231
al-rayyis abu l-hasan,3,6231
barhun al-tahirti,3,5574
elhanan b. isma'il,3,5574
yizhaq b. ya'aqov,3,6233
ya'aqov b. yizhaq,3,6233
dar al-zimam,3,6233
hod ha-zeqenim',3,475
khalfa b. ibrahim al-tabib b. al-tabari,3,476
mubarak b. wahb,3,476
khalfa,3,476
[abu ishaq,3,19198
avraham ha-levi b. toviya ha-levi,3,19198
ye]fet ha-kohen b. salma,3,19198
al-dallal,3,19198
moshe b. 'ovadya,3,19199
r. avraham ha-dayyan,3,19199
etz hayyim,3,19199
al-'ajami,3,19199
noah ha-levi b. shemuel 'ad'ad,3,19199
gaonic,3,478
geonim,3,478
tzubah,3,19202
mevorakh b. qiyam,3,19202
mansur b. wahb,3,19202
salamah b. ',3,19202
mansur b. 'amram,3,19202
aleppan sa'dan b. sa'id,3,19202
yefet b. tiqvah,3,19203
ha-kohen b. shemaryah ha-kohen,3,19203
hatim,3,30845
sadaqa b. 'umar,3,30845
r. hisda,3,19204
[b. hofni] ga'on,3,19205
yosef ha-haver b. berakhya,3,19206
the yeshivah of pumbedita,3,19206
yosef b. ya''aqov,3,19206
aharon b. moshe b. asher,3,19207
r. moshe moheh,3,19207
dunash b. tamim ha-bavli,3,19207
Adbrh vyrvKH,3,19210
kana'is,3,19216
r. nehoray,3,19217
bayt al-kohen',3,480
alexander of macedon,3,19222
menasseh ben,3,31373
yehudah b abi l-hajjaj,3,19223
barukh b. barukh,3,19223
eliyyahu b. sarah,3,19225
yosef qolon b. perez,3,19227
nissim bibas,3,19227
shemuel al-salah,3,19227
gemarot,3,19227
blind,3,19227
david al-mizri,3,19227
r. shemuel mas'ud,3,19227
ya'aqov al-darqon,3,19233
shelomo b. shemuel somekh ha-kohen,3,19233
saadya ha-kohen me'ili,3,19237
hayyim luki,3,19237
yahya b. sulayman,3,19238
sa'id b. mansur,3,19243
khalifah,3,19244
hayyim yosef,3,19244
yefet b. hayyim,3,19251
halil,3,19254
al-shayzari ha-bursi,3,19254
sar ha-torah,3,31358
darb al-mandal,3,31358
yukhlat,3,31502
al-baghidi's,3,30288
rabie,3,6261
makarim b. ishaq b. makarim,3,6264
the codex hammurabi,3,6264
'arus b. yusuf,3,6255
argaman,3,6255
roman caesar,3,19258
pope,3,19258
yosef b. halfon ha-kohen,3,6272
menashe b. david al-sayrafi,3,5581
matar,3,5581
menashe b. david,3,5582
amir mustafa,3,19264
memento mori,3,19266
qays b. al-mulawwah,3,19269
majnun layla,3,19269
hayya ha-kohen,3,19271
hannukah,3,19273
shelomo somekh ha-sofer,3,30310
nissim ka'k,3,30310
sulayman ha-kohen,3,19275
avraham b. sedaqah,3,19276
avraham b. sedaqah's,3,19276
yosef b. yizhaq,3,19278
ahmad b. myryl,3,19278
mevorakh b. david ha-bavli,3,19279
sofer b. 'eli,3,19279
zechariah b. tammam,3,2505
sedaqa b. zakariyya,3,2506
yosef al-sarfi,3,6318
barukh b. isaac,3,19281
khaluf b. musa,3,5588
yoshe'a b. isma'il al-makhmuri,3,5588
avraham b. ishaq b. al-furat,3,6326
qadi abi muhammad,3,6326
ishaq b. simha al-naysaburi,3,5589
ya'aqov b. avraham b. alan,3,5590
yubqi,3,19284
yabqa,3,19284
yeshu'a ha-kohen b. yosef ha-shofet,3,19284
si`a b. yehuda mevorakh b. 'eli,3,6330
menahem b. aharon,3,19287
scribed,3,19287
mas'ud ha-kohen,3,19287
eli'ezer b. shlomo,3,6335
probably ca,3,509
ziqnei ha-yishmaelim,3,512
a. cowley,3,19288
samaritan aramaic,3,19288
saadya kohen,3,19289
r. yosef nahon,3,19289
khubayr,3,19289
shelomo abulafia,3,19289
ya'aqov bu sa'da,3,19289
david al-ashqar,3,19289
issac al-nafusi,3,5336
lu'lu,3,19292
raqs,3,19292
min tarabihim,3,19292
al-raqqi's,3,19292
muhadhdhab b. al-'udi,3,19292
berakhya,3,19296
sulayman b. ya'aqov,3,19296
kohen b. david of,3,19297
shemuel b. yehuda ibn tibbon,3,19297
sefer ha-emunot,3,19297
sefer hovot ha-levavot,3,19297
middot ha-nefesh,3,19297
mivhar ha-peninim,3,19297
sefer ha-diqduq,3,19297
sefer ha-shorashim,3,19297
shemuel ha-ramati,3,19297
mSHh yTS bn,3,19297
natan b. shemu'el,3,6350
yiftah ha-kohen,3,6346
yosef b. david b. shekhanya,3,4414
shemuel ha-sar b. yehuda ha-zaqen,3,19298
halfon ben manasse,3,6352
israel b. ya'aqov,3,6373
gaon of pumbedita,3,5591
nehemya ha-kohen,3,5591
muna b. shelomo,3,6374
yishaq b. shelomo,3,2515
jawhara,3,2515
moshe ibn sighmar,3,9510
kohen b. saadya,3,19299
waliyy al-dawla,3,19300
al-mawla al-a,3,19300
avraham susi,3,19301
bedouin,3,19301
akhadhatni sufra,3,5592
saha,3,5592
nathan b. shelomo ha-kohen,3,6401
tuviyahu b. 'eli sends,3,6401
moshe b. semah,3,6403
e.g nasir,3,4514
shams,3,4514
musa b. azhar,3,19304
musa ibn azhar,3,19304
yishaq b. ezra,3,5260
david b. amar madani,3,5593
amar,3,5593
aaron ha-tustari,3,5593
yehuda b. sighmar,3,2518
amir abu mansur,3,2518
marduk b. salih tahirti,3,2519
yusuf b. yannai al-baradani,3,9276
